"통계분류","항목","단위","2016 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"전체","표본수","","10602","10498","10060","10088","10049","10046",
"전체","아파트 내 (집주변) 공터","","8.7","6.2","10.9","12.9","18.9","12.6",
"전체","카페","","","0","5.7","8.5","9.4","11.9",
"전체","식당","","9.4","11.6","7.1","11.1","9.7","9.9",
"전체","생활권 공원","","6.8","7.2","5.3","8.9","10.6","5.9",
"전체","대형마트","","4.5","3.8","5.8","5","5.3","5.7",
"전체","영화관","","4.4","6.8","9.4","3","2.1","4.6",
"전체","헬스클럽","","3.8","5","4.2","4.1","2.8","3.6",
"전체","재래시장","","2.2","2.9","2.7","3.1","4.4","3",
"전체","쇼핑몰","","2.8","2","2.7","2.3","2.4","2.7",
"전체","산","","4.1","3.7","2.9","3.1","3.6","2.6",
"전체","기타 실내공간","","3.1","2.1",".4","1.8","2.9","2.3",
"전체","마을회관","","2.4","1.8","2.8","1.6",".9","2",
"전체","목욕탕","","3.3","2.4","3.1","2.4","1","2",
"전체","종교시설","","2.8","3.4","3.6","2.7","1.5","1.9",
"전체","도서관","",".9","1","1.2",".7",".7","1.5",
"전체","학교시설","","1.8","1.5","1.4","1.1",".8","1.5",
"전체","PC방","","1.9","2.8","2.1","2.2","1.5","1.4",
"전체","미용관리실","",".6",".8","1.1",".9",".7","1.2",
"전체","캠핑장","",".8",".5",".4",".7",".8","1.1",
"전체","기타실내체육시설","","","0","1.8","1.4","1.3","1.1",
"전체","골프장","",".4",".5",".5",".6",".7","1.1",
"전체","주민자치센터","","1.4","1.3","1.5",".6",".4","1",
"전체","주제공원","",".8",".7",".6","1.1","1.4","1",
"전체","노인복지회관","","1.3","1.8","1.1",".7",".5","1",
"전체","수영장","","1.7","1.7","1.1","1",".7","1",
"전체","대형서점","",".2",".2",".5",".1",".3",".9",
"전체","학교운동장","","1.8","1.8","1.2","1.1","1.1",".9",
"전체","국민체육센터","","1.7","2.1","1.3","1.1",".4",".9",
"전체","찜질방","","1",".7","1.3",".4",".4",".8",
"전체","생활문화센터","",".6",".7",".6",".3",".1",".8",
"전체","공연장","",".8","1.5",".3",".3",".3",".7",
"전체","골프연습장","","1.2","1",".4",".8",".9",".7",
"전체","운동경기장","","1.9","2.2","1.3","1.3","1.3",".7",
"전체","당구장","","1",".9","1",".7",".4",".6",
"전체","노래방","",".8","1",".8",".7",".3",".6",
"전체","학원","",".9","1.4",".5",".7",".8",".6",
"전체","사설문화센터","",".6",".5",".3",".3",".2",".6",
"전체","기타실외체육시설","","","0",".4",".7",".9",".5",
