구분,구분,2018년,2019년,2020년,2021년,2022년
사업체규모별 이러닝 도입률,전체,6.7,7.1,10.6,14,18.2
사업체규모별 이러닝 도입률,300인 이상,69.8,76,78.6,80.3,84.5
사업체규모별 이러닝 도입률,300인 미만,6.7,7.1,10.5,14,17
사업체규모별 이러닝 도입률,1~9인,5.3,5.5,9.1,12.2,36.3
사업체규모별 이러닝 도입률,10~49인,20.9,21.2,24,33.5,51.3
사업체규모별 이러닝 도입률,50~299인,47.3,47.4,48.3,49.5,84.5
정규교육기관 이러닝 도입률,전체,88.4,89,96.4,98.2,98.5
정규교육기관 이러닝 도입률,초등학교,94.3,94.7,98.3,98.3,98.7
정규교육기관 이러닝 도입률,중학교,87.6,88.2,95,99.5,98.1
정규교육기관 이러닝 도입률,고등학교,75.7,76.4,94.3,96.3,98.6
정규교육기관 이러닝 도입률,전문대학,75.6,78.5,90.7,98.2,97
정규교육기관 이러닝 도입률,4년제 대학교,84.2,85.3,92.4,96.3,97.6
정부/공공기관 이러닝 도입 현황,전체,83.7,84.4,85.6,90,92
정부/공공기관 이러닝 도입 현황,중앙정부기관,100,100,100,100,100
정부/공공기관 이러닝 도입 현황,기초지방자치단체,87.5,90.7,91.1,96.6,97.2
정부/공공기관 이러닝 도입 현황,지방공사 및 공단,92.5,92.5,92.9,93.3,96
정부/공공기관 이러닝 도입 현황,교육청,100,100,100,100,100
정부/공공기관 이러닝 도입 현황,광역지방자치단체,100,100,100,100,100
정부/공공기관 이러닝 도입 현황,기타공공기관,66.7,66.7,69.8,79.2,82.1
개인 이러닝 이용률,전체,59,59.2,62.5,65.9,60.8
수요시장 규모 추이,전체,"3,777,241","3,860,943","4,568,109","5,039,933","5,396,020"
수요시장 규모 추이,개인,"1,784,824","1,813,261","2,365,791","2,607,875","2,768,395"
수요시장 규모 추이,사업체,"1,535,444","1,569,416","1,658,085","1,806,701","1,969,581"
수요시장 규모 추이,저육교육기관,"205,624","222,647","269,666","309,263","328,225"
수요시장 규모 추이,정부/공공기관,"251,349","255,619","274,567","316,094","329,819"
